theta1,theta2_rel,frac,tau1_rel,mu,gamma,nu_rel,zeta_rel,clock_rel,betaContam,delta,eta,kappa
2.6932218815672013,2.02540928030227,0.10709152397928728,0.9385172103934902,0.008351521445506197,0.012262628285788758,2.14112754004468,0.20631222212278763,0.6620567120056525,0.7991719664853498,0.030025562301596892,0.9791669809561769,54.71403820503206
2.554716318212555,1.423218407398004,0.8803047464655355,0.9231528828386008,0.012267379200081837,0.013206988547511608,1.728032420931581,0.720410694315734,0.6374463310746912,0.5833129552375914,0.03702068773466567,0.9738080803557093,50.88730455933134
2.0749060932702617,2.0177040587720825,0.9021079677635229,0.9236508216274859,0.014172894590769354,0.01516327839282623,1.2241071128796763,0.4834999448764805,0.5011068576652791,0.8379635787011973,0.03600469121743044,0.953663470038784,44.21937859354139
2.2151071092040575,2.0226238473027136,0.8733294744903247,0.9333880518010992,0.018248149330101167,0.020555191105456814,1.9288331715087057,0.9322637609325144,0.5182702245315851,0.7768004676501536,0.03468205067243822,0.9660005691310614,60.938228241345186
2.4698303934679693,1.7071901214492264,0.1209495909223202,0.9422755589821235,0.007201852550107919,0.009785337493656229,2.299372207970191,0.3033613780742573,1.0470292982822849,0.5349093179338503,0.037396178723058476,0.980552801270376,78.51580665073368
2.624336375585671,1.2257739323473285,0.8944090025406418,0.9349409761872313,0.011664947247780083,0.012879525899227726,1.7657437754912773,0.8521166249106172,0.7292437044169546,0.6620634249963828,0.031418639700075884,0.9685026603369307,55.40635275578795
1.9918716570702668,1.8014136384077732,0.0963932476462559,0.9045386311533475,0.005433957289711769,0.005796475812320176,0.9855627720073349,0.41066983140813124,2.2115450340354723,0.5273016300854523,0.04098674003224411,0.9835665648762759,49.302288062233345
2.21208174320901,1.6945217654994273,0.0822114842200672,0.934741821351342,0.008978327488730842,0.01088670149403401,1.683988257026587,0.41189291662541216,1.1222602159810886,0.4924023381083776,0.051691852545867854,0.9797562759747518,50.042599140206285
2.5285999558856354,2.2624665096568015,0.08494638308655515,0.9444447138048332,0.008004610699353728,0.013050414816655202,2.967840528883439,0.3933037736115246,1.0715954979501312,0.8303624207489041,0.03219863854734963,0.9650702600861689,54.89692568213128
2.551997932389753,1.7270231122453115,0.1176498588402665,0.9427881793105422,0.006127109522874482,0.010284291817215121,2.3928198126792406,0.2922340380677512,0.7341821818283439,0.71042809040022,0.03649170338026811,0.972195700774077,76.18606763127548
2.2124284850971203,1.6878246796667744,0.11360633903110912,0.9185513664554317,0.00549735895718607,0.0066510226705547406,2.0660313206111485,0.19488710065205966,0.6676297138015624,0.6134164966317439,0.04043050027192693,0.9782463376678546,55.14004360513739
3.3128528698006163,1.791546996980471,0.1326053307308867,0.9549770777710463,0.008303399709756704,0.010765963809892296,1.6824864985053758,0.5951618838395047,1.578005499010812,0.7056199207624294,0.028290592781029297,0.9799531170493083,58.09561048811583
2.0224824693390557,2.3579452371653673,0.8925421453277039,0.9336100652244175,0.010736919451066751,0.01372977204372897,1.724877826248634,0.7494320673025745,0.9174437705215974,0.834727536947569,0.031949074140443956,0.9645285788577509,54.187724995718156
1.969373374934718,2.597047766700532,0.8594216273569053,0.9131310561593609,0.010983486344774892,0.013080957715760226,1.3684455782651528,0.5474205872674301,0.6851784346579577,0.705330341416011,0.030513075056155057,0.9801930328058716,58.938301525642636
1.5740623741373891,1.3698758074064048,0.899200227216845,0.9057679856058376,0.006998576808804823,0.008325625166183579,1.829091635053376,0.6862211682677102,1.0710600659216465,0.7558227376830701,0.02350001941321347,0.9739857064244359,46.452496601924615
2.636948338983727,1.6962634054384778,0.8835923078098733,0.9555254726410137,0.01512138168929783,0.019584029006700105,1.9930759022804776,0.7494910045630235,0.7632615012801841,0.8544682835024737,0.028583650045625547,0.966060811492861,63.48576893156097
2.338634162375453,2.5549739397642632,0.0708000250681947,0.9160172868978702,0.007719136560070227,0.009989630294977275,1.286092194578288,0.33846919001883446,0.5152833361068979,0.7119825549824048,0.03090645603908202,0.9790819954560943,45.52749792904392
2.43531461226144,1.9036859361366691,0.12478800632256104,0.940791674895765,0.007499871227495749,0.0118686787207389,2.5322690355364914,0.4604797479374531,1.1098019854049017,0.8358067589051673,0.023871719894488077,0.9711913410221247,66.26291127536646
2.492714183987702,1.880930780239305,0.8882583371834456,0.9256702927415196,0.012350536364814063,0.015718946362956406,1.7575240703509116,0.5995296060743983,0.6510598939051014,0.8524095304060537,0.027983909661881877,0.9648977213941088,60.005686196519854
2.82722321257617,1.3020176996716364,0.8878558827485199,0.9532300932866118,0.01342681063532211,0.015553233339061296,2.0305649310580742,0.8078589299919942,0.6616260726329477,0.6889015704994642,0.03453721517223659,0.9660941932775039,60.89004801598193
2.3938194036963734,2.2647858688877487,0.1358490065924824,0.9341148313368205,0.006138639323094032,0.009145006981928171,1.86536628157723,0.36228286707856006,1.090614838765527,0.7242330746137489,0.026430301601214578,0.9739491329150868,67.56331892207754
1.5947289320793547,1.625536327221442,0.8745393730996569,0.9102301378341588,0.015911238352055337,0.01762527177412346,1.4900438345420626,0.5663365004522976,0.469029956176244,0.6830196709095772,0.025016673510078472,0.9761755976150588,53.78269793387977
2.5835064733988102,1.9023723943748156,0.09818763800276543,0.9315171495669414,0.008276736499700055,0.010851824793074153,1.96653587426363,0.3017549913663953,0.6290183624179265,0.7022012012905301,0.02839671938359977,0.9784934017573111,54.27269213940024
